╔═══════════════════════════════════════════════════════════════════╗
║  Aurora MySQL vs PostgreSQL — 30-Minute Stress Test             ║
║  Instance: db.r7g.4xlarge | 1 Writer + 2 Readers per engine    ║
║  Rates: 200 400 1000 MB/s | Duration: 240s per test         ║
║  Started: Thu Mar 12 04:12:45 UTC 2026                               ║
╚═══════════════════════════════════════════════════════════════════╝

Checking connectivity...
  PG Writer: OK
  PG Reader: OK
  MySQL Writer: OK
  MySQL Reader: OK

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  TESTING AT 200 MB/s
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━

>>> postgresql @ 200 MB/s (240s)

[2026-03-12T04:12:45.755056] Starting postgresql benchmark at 200 MB/s with 16 workers for 240s
[PostgreSQL] Created benchmark_data on aurora-bench-pg.cluster-chmyywwu8h83.us-east-2.rds.amazonaws.com

==========================================================================================
  POSTGRESQL BENCHMARK  |  Target: 200 MB/s  |  Duration: 240s
==========================================================================================
  Time |  Instant MB/s |   Avg MB/s |     Rows/s |    Total Rows |  Total GB |  Errors
--------------------------------------------------------------------------------------
    1s |       89.8 MB/s |    89.8 MB/s |     80,000 |        80,000 |    0.09 GB |       0
    2s |       89.8 MB/s |    89.8 MB/s |     80,000 |       160,000 |    0.18 GB |       0
    3s |       89.8 MB/s |    89.8 MB/s |     80,000 |       240,000 |    0.26 GB |       0
    4s |       89.8 MB/s |    89.8 MB/s |     80,000 |       320,000 |    0.35 GB |       0
    5s |       95.4 MB/s |    90.9 MB/s |     85,000 |       405,000 |    0.44 GB |       0
    6s |      112.2 MB/s |    94.5 MB/s |    100,000 |       505,000 |    0.55 GB |       0
    7s |      106.6 MB/s |    96.2 MB/s |     95,000 |       600,000 |    0.66 GB |       0
    8s |       89.8 MB/s |    95.4 MB/s |     80,000 |       680,000 |    0.75 GB |       0
    9s |       89.8 MB/s |    94.8 MB/s |     80,000 |       760,000 |    0.83 GB |       0
   10s |      101.0 MB/s |    95.4 MB/s |     90,000 |       850,000 |    0.93 GB |       0
   11s |       89.8 MB/s |    94.9 MB/s |     80,000 |       930,000 |    1.02 GB |       0
   12s |       95.4 MB/s |    94.9 MB/s |     85,000 |     1,015,000 |    1.11 GB |       0
   13s |       95.4 MB/s |    95.0 MB/s |     85,000 |     1,100,000 |    1.21 GB |       0
   14s |       84.2 MB/s |    94.2 MB/s |     75,000 |     1,175,000 |    1.29 GB |       0
   15s |      134.7 MB/s |    96.9 MB/s |    120,000 |     1,295,000 |    1.42 GB |       0
   16s |      134.7 MB/s |    99.2 MB/s |    120,000 |     1,415,000 |    1.55 GB |       0
